"_id","company","payslipIds","approved","totalSalary","totalEligible","totalAdditions","totalDeductions","totalPayable","companyName"
"5adb13e7710e640001134c45","AMEX","5adb13e7710e640001134c4e","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c4f","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c50","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c51","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c52","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c53","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c54","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c55","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c56","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c57","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c58","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c59","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c5a","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c5b","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c5c","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c5d","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c5e","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c5f","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c60","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c61","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c62","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c63","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c64","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c65","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e8710e640001134c66","true","291125","0","0","0","0","American Express"
"5adb13e8710e640001134c67","BP","5adb13e8710e640001134c68","true","1500","0","0","0","0","Blue Print"
"5adb13e8710e640001134c69","DB","5adb13e8710e640001134c6a","true","186000","0","0","0","0","Doha Bank"
"5adb13e8710e640001134c69","DB","5adb13e8710e640001134c6b","true","186000","0","0","0","0","Doha Bank"
"5adb13e8710e640001134c69","DB","5adb13e8710e640001134c6c","true","186000","0","0","0","0","Doha Bank"
"5adb13e8710e640001134c69","DB","5adb13e8710e640001134c6d","true","186000","0","0","0","0","Doha Bank"
"5adb13e8710e640001134c69","DB","5adb13e8710e640001134c6e","true","186000","0","0","0","0","Doha Bank"
"5adb13e8710e640001134c69","DB","5adb13e8710e640001134c6f","true","186000","0","0","0","0","Doha Bank"
"5adb13e8710e640001134c69","DB","5adb13e8710e640001134c70","true","186000","0","0","0","0","Doha Bank"
